Title,Year
The Godfather,1972
Pulp Fiction,1994
The Shawshank Redemption,1994
The Dark Knight,2008
The Empire Strikes Back,1980
Inception,2010
The Matrix,1999
Forrest Gump,1994
The Lord of the Rings: The Fellowship of the Ring,2001
The Lord of the Rings: The Two Towers,2002
The Lord of the Rings: The Return of the King,2003
The Silence of the Lambs,1991
Eternal Sunshine of the Spotless Mind,2004
Goodfellas,1990
Schindler's List,1993
Fight Club,1999
The Godfather: Part II,1974
One Flew Over the Cuckoo's Nest,1975
Casablanca,1942
The Big Lebowski,1998
Amelie,2001
Toy Story,1995
Toy Story 2,1999
Toy Story 3,2010
The Lion King,1994
Spirited Away,2001
The Shining,1980
Se7en,1995
The Usual Suspects,1995
It's a Wonderful Life,1946
Citizen Kane,1941
Apocalypse Now,1979
The Sixth Sense,1999
Gladiator,2000
The Great Escape,1963
Jaws,1975
Gone with the Wind,1939
The Wizard of Oz,1939
2001: A Space Odyssey,1968
Raiders of the Lost Ark,1981
Blade Runner,1982
Star Wars: A New Hope,1977
Jurassic Park,1993
Die Hard,1988
Memento,2000
The Princess Bride,1987
The Terminator,1984
Terminator 2: Judgment Day,1991
The Green Mile,1999
The Exorcist,1973
Psycho,1960
Reservoir Dogs,1992
Requiem for a Dream,2000
Taxi Driver,1976
Rear Window,1954
Vertigo,1958
Good Will Hunting,1997
Trainspotting,1996
The Truman Show,1998
Pan's Labyrinth,2006
Donnie Darko,2001
Oldboy,2003
The Prestige,2006
Amadeus,1984
Up,2009
WALL-E,2008
Finding Nemo,2003
A Clockwork Orange,1971
Full Metal Jacket,1987
The Graduate,1967
There Will Be Blood,2007
No Country for Old Men,2007
Mulholland Drive,2001
American Beauty,1999
Fargo,1996
The Big Short,2015
The Revenant,2015
Moonlight,2016
La La Land,2016
Get Out,2017
Dunkirk,2017
Lady Bird,2017
Black Panther,2018
A Star Is Born,2018
Roma,2018
